timestamp,occupancy_actual,occupancy_predicted,outdoor_temperature_C,scheduled_room_temperature_C,predictive_room_temperature_C,scheduled_hvac_enable,predictive_hvac_enable,scheduled_hvac_power_kW,predictive_hvac_power_kW,predictive_future_temp_no_hvac_C,predictive_future_temp_with_command_C,predictive_cooling_command_kW_thermal,scheduled_energy_interval_kWh,predictive_energy_interval_kWh,scheduled_energy_cumulative_kWh,predictive_energy_cumulative_kWh,scheduled_comfort_ok,predictive_comfort_ok
2024-09-22 10:45:00,0.0,0.3383479793638486,25.0,25.0,25.0,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 10:50:00,0.0,0.0032486664001993293,25.0,25.0,25.0,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 10:55:00,0.0,0.0032486664001993293,25.0,25.0,25.0,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 11:00:00,0.0,0.00293811348020262,25.0,25.0,25.0,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 11:05:00,0.0,0.00293811348020262,25.0,25.0,25.0,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 11:10:00,0.0,0.00293811348020262,25.0,25.0,25.0,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 11:15:00,0.0,0.00293811348020262,25.0,25.0,25.0,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 11:20:00,0.0,0.00293811348020262,25.0,25.0,25.0,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 11:25:00,0.0,0.00293811348020262,25.0,25.0,25.0,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 11:30:00,0.0,0.00293811348020262,25.0,25.0,25.0,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 11:35:00,0.0,0.00293811348020262,25.0,25.0,25.0,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 11:40:00,0.0,0.00293811348020262,25.0,25.0,25.0,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 11:45:00,0.0,0.00293811348020262,25.0,25.0,25.0,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 11:50:00,0.0,0.00293811348020262,25.0,25.0,25.0,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 11:55:00,0.0,0.00293811348020262,25.0,25.0,25.0,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 12:00:00,0.0,0.0025015866486281513,25.0,25.0,25.0,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 12:05:00,0.0,0.0025015866486281513,25.0,25.0,25.0,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 12:10:00,0.0,0.0025015866486281513,25.0,25.0,25.0,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 12:15:00,0.0,0.0025015866486281513,25.0,25.0,25.0,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 12:20:00,0.0,0.0025015866486281513,25.0,25.0,25.0,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 12:25:00,0.0,0.0025015866486281513,25.0,25.0,25.0,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 12:30:00,0.0,0.0025015866486281513,25.0,25.0,25.0,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 12:35:00,0.0,0.0025015866486281513,25.0,25.0,25.0,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 12:40:00,0.0,0.0025015866486281513,25.0,25.0,25.0,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 12:45:00,1.0,0.0025015866486281513,25.0,25.0,25.0,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,True,True
2024-09-22 12:50:00,1.0,0.3379904028139091,25.0,25.0225,25.0225,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,True,True
2024-09-22 12:55:00,0.0,0.6695663115089616,25.0,25.044325,25.044325,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 13:00:00,0.0,0.669511582055285,25.0,25.04299525,25.04299525,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 13:05:00,0.0,0.3376877614021591,25.0,25.0417053925,25.0417053925,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 13:10:00,0.0,0.001951033283476622,25.0,25.040454230725,25.040454230725,0,0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 13:15:00,0.0,0.001951033283476622,25.0,25.03924060380325,25.03924060380325,0,0,0.0,0.0,25.03268632442462,25.03268632442462,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 13:20:00,0.0,0.001951033283476622,25.0,25.038063385689153,25.038063385689153,0,0,0.0,0.0,25.03268632442462,25.03268632442462,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 13:25:00,0.0,0.001951033283476622,25.0,25.03692148411848,25.03692148411848,0,0,0.0,0.0,25.03268632442462,25.03268632442462,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 13:30:00,0.0,0.001951033283476622,25.0,25.035813839594926,25.035813839594926,0,0,0.0,0.0,25.03268632442462,25.03268632442462,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 13:35:00,0.0,0.001951033283476622,25.0,25.03473942440708,25.03473942440708,0,0,0.0,0.0,25.03268632442462,25.03268632442462,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 13:40:00,0.0,0.001951033283476622,25.0,25.033697241674865,25.033697241674865,0,0,0.0,0.0,25.03268632442462,25.03268632442462,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 13:45:00,0.0,0.001951033283476622,25.0,25.03268632442462,25.03268632442462,0,0,0.0,0.0,25.027226793189737,25.027226793189737,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 13:50:00,0.0,0.001951033283476622,25.0,25.031705734691883,25.031705734691883,0,0,0.0,0.0,25.027226793189737,25.027226793189737,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 13:55:00,0.0,0.001951033283476622,25.0,25.030754562651126,25.030754562651126,0,0,0.0,0.0,25.027226793189737,25.027226793189737,0.0,0.0,0.0,0.0,0.0,,
2024-09-22 14:00:00,0.0,0.0013069131838296388,25.0,25.029831925771592,25.029831925771592,0,0,0.0,0.0,25.027226793189737,25.027226793189737,0.0,0.0,0.0,0.0,0.0,,
